# 105
# Ag dielectric function [E.D. Palik, Handbook of Optical Constants of Solids, Academic Press, p. 353 (1985)]
#             E[eV]                    eps1                    eps2
  0.500000000000000       -227.128279000000        28.3578000000000     
  0.600000000000000       -158.313776000000        16.8336000000000     
  0.900000000000000       -69.8879790000000        6.88014000000000     
   1.00000000000000       -71.9718590000000        5.58642000000000     
   1.10000000000000       -58.7658990000000        3.85034000000000     
   1.20000000000000       -48.8090240000000        3.15948000000000     
   1.30000000000000       -41.3056960000000        2.54628000000000     
   1.40000000000000       -35.3759310000000        1.93970000000000     
   1.50000000000000       -30.2289750000000        1.59500000000000     
   1.60000000000000       -25.8876510000000        1.45574000000000     
   1.70000000000000       -22.4456960000000        1.40304000000000     
   1.80000000000000       -19.6940000000000        1.24320000000000     
   1.90000000000000       -17.2029000000000        1.16200000000000     
   2.00000000000000       -15.0372390000000        1.01656000000000     
   2.10000000000000       -13.3809590000000       0.885720000000000     
   2.20000000000000       -11.8881000000000       0.828000000000000     
   2.30000000000000       -10.5458590000000       0.838500000000000     
   2.40000000000000       -9.40800000000000       0.798200000000000     
   2.50000000000000       -8.27750000000000       0.748800000000000     
   2.60000000000000       -7.38097600000000       0.718080000000000     
   2.70000000000000       -6.53286400000000       0.737280000000000     
   2.80000000000000       -5.73535100000000       0.753600000000000     
   2.90000000000000       -5.08200000000000       0.723200000000000     
   3.00000000000000       -4.42217100000000       0.730060000000000     
   3.10000000000000       -3.77257100000000       0.674700000000000     
   3.20000000000000       -3.23923600000000       0.695040000000000     
   3.30000000000000       -2.74890000000000       0.668000000000000     
   3.40000000000000       -2.55750400000000       0.598920000000000     
   3.50000000000000       -2.02991900000000       0.601920000000000     
   3.60000000000000       -1.48095600000000       0.590240000000000     
   3.70000000000000      -0.885760000000000       0.579768000000000     
   3.80000000000000      -0.162893000000000       0.697476000000000     
   3.90000000000000       0.614608000000000       0.939456000000000     
   4.00000000000000        1.33172000000000        1.71196200000000     
   4.10000000000000        1.46009200000000        2.63894400000000     
   4.20000000000000        1.14096100000000        3.28104000000000     
   4.30000000000000       0.839904000000000        3.57476000000000     
   4.40000000000000       0.590976000000000        3.71952000000000     
   4.50000000000000       0.360381000000000        3.77542000000000     
   4.60000000000000       0.202316000000000        3.73464000000000     
   4.70000000000000       5.988400000000005E-002   3.70440000000000     
   4.80000000000000      -1.885100000000040E-002   3.62610000000000     
   4.90000000000000      -8.010000000000006E-002   3.56400000000000     
   5.00000000000000      -0.137696000000000        3.50460000000000     
   5.20000000000000      -0.168675000000000        3.36490000000000     
   5.40000000000000      -0.183456000000000        3.24356000000000     
   5.60000000000000      -0.230736000000000        3.14080000000000     
   5.80000000000000      -0.288171000000000        3.02634000000000     
   6.00000000000000      -0.347275000000000        2.85750000000000     
   6.10000000000000      -0.381996000000000        2.76696000000000     
   6.20000000000000      -0.388416000000000        2.65856000000000     
   6.30000000000000      -0.365796000000000        2.53616000000000     
   6.40000000000000      -0.335616000000000        2.42608000000000     
   6.60000000000000      -0.286875000000000        2.24870000000000     
   6.80000000000000      -0.205939000000000        2.07366000000000     
   7.00000000000000      -0.111891000000000        1.92506000000000     
   7.20000000000000      -1.703699999999997E-002   1.79168400000000     
   7.40000000000000       8.043200000000006E-002   1.66982400000000     
   7.60000000000000       0.182001000000000        1.55584000000000     
   7.80000000000000       0.290700000000000        1.44760000000000     
   8.00000000000000       0.427008000000000        1.35834400000000     
   8.20000000000000       0.559640000000000        1.29685800000000     
   8.40000000000000       0.692924000000000        1.25904000000000     
   8.60000000000000       0.813768000000000        1.24682600000000     
   8.80000000000000       0.919575000000000        1.25211200000000     
   9.00000000000000        1.01549700000000        1.26849600000000     
   9.20000000000000        1.09462400000000        1.30020000000000     
   9.70000000000000        1.19008500000000        1.39122800000000     
   10.0000000000000        1.21745700000000        1.40977600000000     
   10.3000000000000        1.24940800000000        1.41225600000000     
   10.6000000000000        1.28662500000000        1.41680000000000     
   10.9000000000000        1.32480000000000        1.43360000000000     
   11.2000000000000        1.35149300000000        1.46367600000000     
   11.5000000000000        1.36167100000000        1.48980000000000     
   11.8000000000000        1.36633200000000        1.50742400000000     
   12.1000000000000        1.37330300000000        1.51989600000000     
   12.5000000000000        1.38348100000000        1.54644000000000     
   13.0000000000000        1.38407500000000        1.59433200000000     
   13.5000000000000        1.35330000000000        1.66043200000000     
   14.0000000000000        1.28052800000000        1.71609600000000     
   14.5000000000000        1.17992000000000        1.73959800000000     
   15.0000000000000        1.06480000000000        1.72279800000000     
   15.5000000000000       0.967323000000000        1.66116400000000     
   16.0000000000000       0.904913000000000        1.57778400000000     
   17.0000000000000       0.853416000000000        1.42367000000000     
   18.0000000000000       0.860552000000000        1.30578600000000     
   19.0000000000000       0.881991000000000        1.23848000000000     
   20.0000000000000       0.905300000000000        1.20340800000000     
   20.5000000000000       0.919624000000000        1.21329000000000     
   21.0000000000000       0.915160000000000        1.24429800000000     
   21.5000000000000       0.877760000000000        1.28947200000000     
   22.0000000000000       0.777400000000000        1.32225000000000     
   22.5000000000000       0.669465000000000        1.28419200000000     
   23.0000000000000       0.583404000000000        1.20344000000000     
   23.5000000000000       0.548193000000000        1.10142400000000     
   24.5000000000000       0.548352000000000       0.945864000000000     
   25.5000000000000       0.574857000000000       0.833976000000000     
   26.0000000000000       0.589633000000000       0.787656000000000     
   26.5000000000000       0.607755000000000       0.746012000000000     
   27.0000000000000       0.362496000000000        1.15180000000000     
   27.5000000000000       0.344745000000000        1.04843200000000     
   28.0000000000000       0.465504000000000        1.06436000000000     
